Module                  Size  Used by
ili9488                16384  0
nc4_ili9488            20480  2
drm_dma_helper         24576  2 ili9488,nc4_ili9488
drm_mipi_dbi           28672  2 ili9488,nc4_ili9488
drm_kms_helper        212992  9 drm_dma_helper,drm_mipi_dbi,ili9488,nc4_ili9488
gpio_backlight         12288  0
rfcomm                 53248  4
snd_seq_dummy          12288  0
snd_hrtimer            12288  1
snd_seq                81920  7 snd_seq_dummy
snd_seq_device         16384  1 snd_seq
cmac                   12288  3
algif_hash             12288  1
aes_arm64              12288  3
aes_generic            32768  1 aes_arm64
algif_skcipher         12288  1
af_alg                 24576  6 algif_hash,algif_skcipher
bnep                   24576  2
binfmt_misc            16384  1
zfs                  4616192  6
spl                   126976  1 zfs
brcmfmac_wcc           12288  0
brcmfmac              360448  1 brcmfmac_wcc
joydev                 24576  0
brcmutil               24576  1 brcmfmac
hci_uart               49152  0
btbcm                  24576  1 hci_uart
spidev                 16384  0
cfg80211              983040  1 brcmfmac
bluetooth             610304  33 hci_uart,btbcm,bnep,rfcomm
snd_bcm2835            24576  1
bcm2835_codec          45056  0
rpivid_hevc            45056  0
snd_pcm               139264  1 snd_bcm2835
bcm2835_v4l2           40960  0
ecdh_generic           16384  2 bluetooth
ecc                    36864  1 ecdh_generic
rfkill                 32768  6 bluetooth,cfg80211
bcm2835_isp            28672  0
snd_timer              36864  3 snd_seq,snd_hrtimer,snd_pcm
v4l2_mem2mem           45056  2 bcm2835_codec,rpivid_hevc
bcm2835_mmal_vchiq     36864  3 bcm2835_codec,bcm2835_v4l2,bcm2835_isp
libaes                 12288  3 aes_arm64,bluetooth,aes_generic
videobuf2_vmalloc      12288  1 bcm2835_v4l2
videobuf2_dma_contig    16384  3 bcm2835_codec,rpivid_hevc,bcm2835_isp
snd                   110592  9 snd_seq,snd_seq_device,snd_bcm2835,snd_timer,snd_pcm
videobuf2_memops       12288  2 videobuf2_vmalloc,videobuf2_dma_contig
raspberrypi_hwmon      12288  0
vc_sm_cma              28672  2 bcm2835_mmal_vchiq,bcm2835_isp
videobuf2_v4l2         32768  5 bcm2835_codec,bcm2835_v4l2,rpivid_hevc,v4l2_mem2mem,bcm2835_isp
videodev              303104  6 bcm2835_codec,videobuf2_v4l2,bcm2835_v4l2,rpivid_hevc,v4l2_mem2mem,bcm2835_isp
raspberrypi_gpiomem    12288  0
videobuf2_common       69632  9 bcm2835_codec,videobuf2_vmalloc,videobuf2_dma_contig,videobuf2_v4l2,bcm2835_v4l2,rpivid_hevc,v4l2_mem2mem,videobuf2_memops,bcm2835_isp
mc                     61440  7 videodev,bcm2835_codec,videobuf2_v4l2,videobuf2_common,rpivid_hevc,v4l2_mem2mem,bcm2835_isp
nvmem_rmem             12288  0
drm                   643072  6 drm_kms_helper,drm_dma_helper,drm_mipi_dbi,ili9488,nc4_ili9488
i2c_dev                16384  0
fuse                  139264  1
drm_panel_orientation_quirks    28672  1 drm
dm_mod                143360  0
backlight              24576  5 drm_kms_helper,gpio_backlight,ili9488,nc4_ili9488,drm
ip_tables              32768  0
x_tables               49152  1 ip_tables
ipv6                  569344  34
spi_bcm2835            20480  0
uio_pdrv_genirq        12288  0
uio                    20480  1 uio_pdrv_genirq
